Date,Transaction Count
13-04-2017 00:00,1977431
14-04-2017 00:00,2324026
15-04-2017 00:00,2764087
16-04-2017 00:00,1377024
17-04-2017 00:00,1476080
18-04-2017 00:00,1554863
19-04-2017 00:00,1568617
20-04-2017 00:00,1512611
21-04-2017 00:00,1674494
22-04-2017 00:00,1666593
23-04-2017 00:00,1405002
24-04-2017 00:00,1446019
25-04-2017 00:00,1510670
26-04-2017 00:00,1689118
27-04-2017 00:00,1577931
28-04-2017 00:00,1876603
29-04-2017 00:00,1877399
30-04-2017 00:00,1740825
01-05-2017 00:00,1722103
02-05-2017 00:00,1679332
03-05-2017 00:00,1628938
04-05-2017 00:00,1751246
05-05-2017 00:00,1808555
06-05-2017 00:00,1812799
07-05-2017 00:00,1503428
08-05-2017 00:00,1621826
09-05-2017 00:00,1683205
10-05-2017 00:00,1814755
11-05-2017 00:00,1766822
12-05-2017 00:00,2221012
13-05-2017 00:00,2767463
14-05-2017 00:00,2158503
15-05-2017 00:00,1522757
16-05-2017 00:00,1590406
17-05-2017 00:00,1567140
18-05-2017 00:00,1639236
19-05-2017 00:00,1833110
20-05-2017 00:00,1822514
21-05-2017 00:00,1525304
22-05-2017 00:00,1533654
23-05-2017 00:00,1590099
24-05-2017 00:00,1632037
25-05-2017 00:00,1699570
26-05-2017 00:00,1991849
27-05-2017 00:00,1822191
28-05-2017 00:00,1487168
29-05-2017 00:00,1373224
30-05-2017 00:00,1670256
31-05-2017 00:00,1947104
01-06-2017 00:00,1804447
02-06-2017 00:00,1875480
03-06-2017 00:00,1792616
04-06-2017 00:00,1455776
05-06-2017 00:00,1564751
06-06-2017 00:00,1585419
07-06-2017 00:00,1627447
08-06-2017 00:00,1782617
09-06-2017 00:00,1897669
10-06-2017 00:00,1799369
11-06-2017 00:00,1400142
12-06-2017 00:00,1664072
13-06-2017 00:00,1668433
14-06-2017 00:00,1647234
15-06-2017 00:00,2504202
16-06-2017 00:00,2282503
17-06-2017 00:00,2601096
18-06-2017 00:00,2200782
19-06-2017 00:00,1708708
20-06-2017 00:00,1686319
21-06-2017 00:00,1751215
22-06-2017 00:00,1780734
23-06-2017 00:00,1927060
24-06-2017 00:00,1805023
25-06-2017 00:00,1555851
26-06-2017 00:00,1664852
27-06-2017 00:00,1617899
28-06-2017 00:00,1769231
29-06-2017 00:00,1839294
30-06-2017 00:00,2192059
01-07-2017 00:00,1634207
02-07-2017 00:00,1717437
03-07-2017 00:00,1634355
04-07-2017 00:00,1295859
05-07-2017 00:00,1581677
06-07-2017 00:00,1613513
07-07-2017 00:00,1842891
08-07-2017 00:00,1729060
09-07-2017 00:00,1388589
10-07-2017 00:00,1655111
11-07-2017 00:00,1695832
12-07-2017 00:00,1673883
13-07-2017 00:00,1636448
14-07-2017 00:00,2110981
15-07-2017 00:00,1898052
16-07-2017 00:00,1529343
17-07-2017 00:00,1677393
18-07-2017 00:00,1647352
19-07-2017 00:00,1700213
20-07-2017 00:00,1792765
21-07-2017 00:00,1836886
22-07-2017 00:00,1848066
23-07-2017 00:00,1557686
24-07-2017 00:00,1614018
25-07-2017 00:00,1797161
26-07-2017 00:00,1864048
27-07-2017 00:00,1767888
28-07-2017 00:00,1939838
29-07-2017 00:00,1909815
30-07-2017 00:00,1608845
31-07-2017 00:00,1837609
01-08-2017 00:00,1825430
02-08-2017 00:00,1772239
03-08-2017 00:00,1853306
04-08-2017 00:00,2071471
05-08-2017 00:00,1940574
06-08-2017 00:00,1615426
07-08-2017 00:00,1754628
08-08-2017 00:00,1699004
09-08-2017 00:00,1758079
10-08-2017 00:00,1942911
11-08-2017 00:00,2101398
12-08-2017 00:00,1989030
13-08-2017 00:00,1780209
14-08-2017 00:00,1696525
15-08-2017 00:00,1851768
16-08-2017 00:00,1839487
17-08-2017 00:00,1829777
18-08-2017 00:00,1957231
19-08-2017 00:00,1854131
20-08-2017 00:00,1568931
21-08-2017 00:00,1619567
22-08-2017 00:00,1599563
23-08-2017 00:00,1940716
24-08-2017 00:00,1849238
25-08-2017 00:00,2056049
26-08-2017 00:00,1948647
27-08-2017 00:00,1694814
28-08-2017 00:00,1603649
29-08-2017 00:00,1606345
30-08-2017 00:00,1762836
31-08-2017 00:00,1893422
01-09-2017 00:00,2229399
02-09-2017 00:00,2141006
03-09-2017 00:00,1779900
04-09-2017 00:00,1504298
